id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
1,edu-capital,360learning,360learning,https://www.educapitalvc.com/portfolio,Future of work,https://360learning.com,Collaborative LMS,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/65d72ac8c5b4695a3d4cdd07_360_logo.png,,,,
2,edu-capital,appscho,appscho,https://www.educapitalvc.com/portfolio,Future of education,https://www.appscho.com/,Application for school management for students,Acquired,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647077b29be7214cf9b47e2f_Appscho_.png,,,,
3,edu-capital,buddy,buddy,https://www.educapitalvc.com/portfolio,Future of education,https://buddy.ai/fr/,AI-based language tutor for children,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/672a40aa344dc01f8f7d80fd_FOTO-WEB-BUDDY-INGLES-2.jpg,,,,
4,edu-capital,chance,chance,https://www.educapitalvc.com/portfolio,Future of work,https://www.chance.co/fr,Online career guidance,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/63feabd8a2c7ec7b5b98e1dc_Chance.png,,,,
5,edu-capital,codary,codary,https://www.educapitalvc.com/portfolio,Future of education,https://codary.org,Online coding for children,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64707740a61024d9b3fca741_Complori_V2.png,,,,
6,edu-capital,cyberguru,cyberguru,https://www.educapitalvc.com/portfolio,Future of work,https://www.cyberguru.it/fr,Cybersecurity Awareness Training,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/679a1f72eb14cd71aa514aa5_cyber-guru-logo%20(1).png,,,,
7,edu-capital,digischool,digischool,https://www.educapitalvc.com/portfolio,Future of education,https://www.digischool.fr,Educational apps for K12 and Higher Ed,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647073ce9be7214cf9b0b019_DigischoolV2.png,,,,
8,edu-capital,edflex,edflex,https://www.educapitalvc.com/portfolio,Future of work,https://www.edflex.com,Content curation platform for corporate training,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/66fa9c384fa1c54015676145_logo%20edflex.svg,,,,
9,edu-capital,opendigitaleducation,opendigitaleducation,https://www.educapitalvc.com/portfolio,Future of education,https://opendigitaleducation.com/index.php?lang=fr,The social network for schools,Acquired,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/649c626e1dcf2a29a3751159_ODE%20DEVIENT%20EDIFICE%202.png,,,,
10,edu-capital,emma,emma,https://www.educapitalvc.com/portfolio,Future of education,https://apps.apple.com/fr/app/emma-parler-anglais/id6737470910,Conversational AI for language learning,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/6940005565c084460918d2e2_Capture%20d%E2%80%99e%CC%81cran%202025-12-15%20a%CC%80%2013.34.07.png,,,,
11,edu-capital,engageli,engageli,https://www.educapitalvc.com/portfolio,Future of education,https://www.engageli.com,The “Zoom” for education,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647078250076accc99069171_Engageli_%202.png,,,,
12,edu-capital,evidenceb,evidenceb,https://www.educapitalvc.com/portfolio,Future of education,https://evidenceb.fr,Adaptive learning platform for K12,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647074e76b25b30b3bb95f61_EvidenceB_B2.png,,,,
13,edu-capital,femaleinvest,femaleinvest,https://www.educapitalvc.com/portfolio,Future of education,https://www.femaleinvest.com,Financial education for women,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/640082e5ce03bf6283cf09b9_female%20invest.png,,,,
14,edu-capital,fourthrev,fourthrev,https://www.educapitalvc.com/portfolio,Future of education,https://fourthrev.com,Online courses by tech companies and uni,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/66fa9d501d0bf8d4616a5ac8_fourth%20rev.webp,,,,
15,edu-capital,happypal,happypal,https://www.educapitalvc.com/portfolio,Future of work,https://www.happypal.fr,Employee benefit platform,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/655b900510026bba61d1bf58_logo-happypal.png,,,,
16,edu-capital,prepacademy,prepacademy,https://www.educapitalvc.com/portfolio,Future of education,https://www.prepacademy.fr,Online training for jobs facing talent shortage,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/66e2f24df54bfde447f1fe9d_hupso1.png,,,,
17,edu-capital,invivox,invivox,https://www.educapitalvc.com/portfolio,Future of work,https://invivox.com/fr,Online training for healthcare professionals,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/63feabd040f8ce57fa788808_Invivox.png,,,,
18,edu-capital,knowunity,knowunity,https://www.educapitalvc.com/portfolio,Future of education,https://knowunity.co.uk,AI learning companion,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64707985a93d52282e9b98de_Knowunity%202.png,,,,
19,edu-capital,labster,labster,https://www.educapitalvc.com/portfolio,Future of education,https://www.labster.com/,Immersive platform for science learning,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/63feac5049df0bb8d9eb3feb_Labster.png,,,,
20,edu-capital,lalilo,lalilo,https://www.educapitalvc.com/portfolio,Future of education,https://lalilo.com,AI to teach children to read,Acquired,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64708388a558edee241824b4_lalilo_V2.png,,,,
