id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
1,gsv-ventures,Abwaab,abwaab,https://gsv.ventures/portfolio/,Pre-K-12,https://abwaab.me/en,"Abwaab is an online learning platform that allows students to learn at their own pace, test themselves, and get ahead with our expert tutors anytime and anywhere. Abwaab offers short, engaging video lessons, visualized learning journeys, continuous assessment, and performance analytics.",Seed,,2019,2020,https://gsv.ventures/wp-content/uploads/2020/10/gsvventures-portfolio-abwaab-logo-small.png,,,,Hamdi Tabbaa;Hussein Al-Sarabi;Sabri Hakim
2,gsv-ventures,AdmitKard,admitkard,https://gsv.ventures/portfolio/,,https://www.admitkard.com/,"AdmitKard is was founded in 2016 by IIT-IIM Alumni (Piyush Bhartiya & Rachit Agrawal), with an aim to mentor students in the college application process. AdmitKard boasts of a robust technical platform to make the entire application process effortless and to enable you to apply from the comfort of your home, hostel, or wherever you are in the world, to make your dreams come true!",,,2017,,https://gsv.ventures/wp-content/uploads/2023/08/AdmitKard-Logo.png,,,,Rachit Agarwal;Co-Founder & Piyush Bhartiya;Co-Founder
3,gsv-ventures,Amigo,amigo,https://gsv.ventures/portfolio/,,https://www.amigo.ai/,"Amigo helps service businesses scale their reach & revenue using AI-powered digital clones that reason, think, and talk just like them.",,,,,https://gsv.ventures/wp-content/uploads/2024/12/Amigo-Wordmark.png,,,,
4,gsv-ventures,Amira Learning,amira-learning,https://gsv.ventures/portfolio/,K-12,https://www.amiralearning.com/,"Amira Learning is reinventing learning to read with AI. Leveraging AI innovation developed by and licensed from Carnegie Mellon University over 20+ years, Amira is an intelligent reading assistant able to assess, listen to and coach developmental readers. Just like a patient grandparent, Amira reads along with a child, helping to make reading practice productive. Just like the best teacher’s aide, Amira can assess oral fluency, tutor and generally make teacher’s life easier.",Series A,,2017,2019,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-amiralearning-logo.png,,,,Mark Angel;CEO
5,gsv-ventures,Andela,andela,https://gsv.ventures/portfolio/,Future of Talent@Work,https://andela.com/,"In the next ten years, there will be 1.3M software development jobs created and only 400,000 domestic computer science graduates to fill them. Africa, meanwhile, is home to the largest untapped talent pool and seven of the 10 fastest growing internet populations in the world.",Seed,,2014,2014,https://gsv.ventures/wp-content/uploads/2020/11/andela-logo.png,,,,Jeremy Johnson;CEO & Co-Founder; Christina Sass;COO & Co-Founder
6,gsv-ventures,apna,apna,https://gsv.ventures/portfolio/,,https://apna.co/,"apna is the leading professional app in India focused on blue and grey collar workers. It is a horizontal and vertical network for workers in different trades and cities, enabling them to get hired and upskilled.",Series C,,,,https://gsv.ventures/wp-content/uploads/2021/09/gsvventures-portfolio-apna-logo.png,,,,Nirmit Parikh;Founder & CEO
7,gsv-ventures,ASI,asi,https://gsv.ventures/portfolio/,,https://www.asi.tech,digest.ai is building AI to help people understand text.,,,2021,,https://gsv.ventures/wp-content/uploads/2023/08/ASI.png,,,,Quddus Pativada;Founder
8,gsv-ventures,Begin,begin,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://www.speakaboos.com/,"BEGiN, the parent company of the Speakaboos and Homer early childhood literacy and language learning program, is on a mission to provide children the best educational start possible. The platform produces the industry’s highest engagement by combining two award-winning programs supporting “Love to Read” and “Learn to Read, and is the only company with two top 10 subscription services in the Kids and Education categories in the App Store and Google Play.",Series B,,2009,2014,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-begin-logo.png,,,,Neal Shenoy;Co-Founder & COO; Noelle Millholt
9,gsv-ventures,Bookclub,bookclub,https://gsv.ventures/portfolio/,Adult Consumer Learning,https://www.bookclub.com/,Bookclub enables life changing conversations through virtual book clubs led by the authors themselves.,Seed,,2020,2020,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-bookclub-logo.png,,,,David Blake & Eric Sharp
10,gsv-ventures,BrightChamps,brightchamps,https://gsv.ventures/portfolio/,,https://brightchamps.com/,BrightChamps offers live one-on-one courses in technological skills for kids in grades 1 – 12. The startup provides courses on coding and mathematical thinking. BrightChamp’s vision is to ensure that its young students are prepared for what the future holds.,Seed,,,,https://gsv.ventures/wp-content/uploads/2021/11/gsvventures-portfolio-brightchamps-logo.png,,,,Ravi Bhushan;Founder & CEO
11,gsv-ventures,CampusLogic,campuslogic,https://gsv.ventures/portfolio/,Future of Talent in Post-Secondary,https://campuslogic.com/,"CampusLogic transforms the way higher education delivers student financial services with a self-service SaaS platform for students, staff, and schools. CampusLogic’s innovative software means more students can access aid—and the education it pays for, make better decisions that reduce borrowing, and easily navigate student finance with less staff burden and cost. Today, 450+ colleges and universities serving 3 million students are on the platform, including ASU, Arizona, Georgia, Colorado State, Western Governors, and Morehouse.",Seed,,2011,2015,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-campuslogic-logo.png,,,,Gregg Scoresby
12,gsv-ventures,Clasp,clasp,https://gsv.ventures/portfolio/,,https://www.clasp.com/,"Clasp is a first-of-its-kind platform connecting education and employment through retention-driven recruitment. Since 2018, Clasp (formerly Stride Funding) has helped over 10,000 students access outcomes-based financing, career pathways, and student loan repayment. By enabling healthcare systems to sponsor loan repayment tied to early job commitments, Clasp addresses two major challenges: student debt and the clinical talent shortage. Clasp also publishes theSchool Deserts Index, a national report featuring state-by-state rankings of gaps in clinical training programs, offering actionable insights for workforce planners. Backed by up to$100Min funding capacity—with no co-signer required—Clasp supports students at the moment they need it most. Learn more at clasp.com.",Seed,,2018,2019,https://gsv.ventures/wp-content/uploads/2020/11/Clasp_Logo.jpg,,,,Tess Michaels;CEO
13,gsv-ventures,ClassDojo,classdojo,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://www.classdojo.com/,"ClassDojo give teachers, parents, and students the power to transform education from the ground-up, in every classroom in the world by making it easy to share everything more openly, more positively and more often. It is one of the fastest-growing and widely used education technology companies of all time, with millions of teachers and tens of millions of parents and students using it in more than 180 countries.",Investment Series B,,2011,2015,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-classdojo-logo.png,,,,Sam Chaudhary;Co-Founder & CEO; Liam Don
14,gsv-ventures,Classplus,classplus,https://gsv.ventures/portfolio/,"K12, Higher Ed",https://classplusapp.com/,"Classplus empowers educators to take their offline institutes online. The full-stack and mobile-first platform enables tutors to distribute their content, acquire students, and teach virtually. The vision behind Classplus is to be the leading provider of infrastructure SaaS for digital learning.",Series C,,2018,2021,https://gsv.ventures/wp-content/uploads/2021/08/gsvventures-portfolio-classplus-logo.png,,,,Mukul Rustagi & Bhaswat Agarwal
15,gsv-ventures,Class Technologies,class-technologies,https://gsv.ventures/portfolio/,PK-12,https://www.classedu.com/,"Class is building industry verticalized versions of the world’s leading video conference platform Zoom, starting with education. Its first product, Class for Zoom, is the world’s first custom Zoom experience fully optimized for K-12, Higher Education, and Corporate Learning. Class for Zoom is built on Zoom’s SDK.",Seed,,2020,2020,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-classtechnologies-logo.png,,,,Michael Chasen
16,gsv-ventures,Clever,clever,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://clever.com/,"At the heart of the software and Big Data revolution underway in education, Clever makes using a school’s technology faster, safer, and simpler than ever before. With Clever, learning applications get a platform to easily connect with schools and school districts have a central location to manage their technology. Today, half of K-12 schools in the U.S. trust Clever to secure their student data as they adopt learning software in the classroom, and the company works with more digital products and companies than any other platform in education aside from Apple.",Seed,,2012,2012,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-clever-logo.png,,,,Tyler Bosmeny;CEO & Co-Founder; Dan Carroll;COO & Co-Founder; Rafael Garcia;CTO & Co-Founder
17,gsv-ventures,CLI Studios,cli-studios,https://gsv.ventures/portfolio/,K-12,https://www.clistudios.com/,"Led by an outstanding team of former and current professional dancers and choreographers (one of whom was also a Cooley lawyer), CLI Studios delivers synchronous and asynchronous arts instruction to schools and arts studios. K-12 schools today are starved for arts curriculum and CLI offers access to professional instruction that is fun and engaging but also very affordable for most school budgets.",Series A,,2014,2019,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-clistudios-logo.png,,,,Jonathan Arpino;CEO & Founder; Justin Rucker;COO
18,gsv-ventures,CoLearn,colearn,https://gsv.ventures/portfolio/,K-12,https://colearn.id/,CoLearn is an edtech platform that empowers tuition centers and tutors to create online learning experiences for their students.,Series A,,2020,,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-colearn-logo.png,,,,Abhay Saboo;Co-Founder & CEO; Marc Irawan;Co-Founder & CTO; Sandeep Devaram;Co-Founder & CPO
19,gsv-ventures,Course Hero,course-hero,https://gsv.ventures/portfolio/,Future of Talent in Post-Secondary,https://www.coursehero.com/,"Harnessing marketplace network effects and the power of community crowdsourcing, Course Hero is an online learning platform that empowers students and educators to succeed through study tools and resources. Fueled by a passionate community of over 20 million students and educators who share their course-specific knowledge and educational resources, Course Hero offers the biggest and best library of study documents, expert tutors, customizable flashcards, and course advice.",Series A,,2006,2014,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-coursehero-logo.png,,,,Andrew Grauer;CEO & Co-Founder
20,gsv-ventures,Coursera,coursera,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://www.coursera.org/,"A testament to the shift in learning & talent development towards “knowledge as a currency”, Coursera’s flexible platform empowers lifelong learners to skill up anytime, anywhere while building out a portfolio of stackable credentials. In just five years, the company has achieved massive scale – 31 million registered learners, 150 university partners — and launched disruptive programs that cross over to professional & corporate training, including partnerships with industry leaders such as AT&T, L’Oréal, Air France, PayPal, and The Boston Consulting Group, to name a few.",Series D,,2012,2017,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-coursera-logo.png,,,,Jeff Maggioncalda;Co-Chair of the Board; Andrew Ng;Co-Founder & Co-Chair of the Board; Daphne Koller;Co-Founder
21,gsv-ventures,CreativeLive,creativelive,https://gsv.ventures/portfolio/,Future of Talent@Work,https://www.creativelive.com/,"Founded by one of the most influential photographers of the last 20 years, CreativeLive is the go-to continuing education resource for creative professionals. A community of innovators and doers, CreativeLive is the world’s leading live, online classroom for creatives. Anyone can use the platform to take classes taught by the world’s most inspiring instructors. With over 2 billion minutes of content consumed to date, CreativeLive now has 10 million users and counting.",Series B,,2010,2016,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-creativelive-logo.png,,,,Chase Jarvis;CEO & Co-Founder; Mak Azadi;President
22,gsv-ventures,Degreed,degreed,https://gsv.ventures/portfolio/,Workforce,https://degreed.com/,"Degreed exists to discover, empower, and recognize the next generation of the world’s expertise. Connecting all the resources people use to learn and grow, including corporate learning systems and millions of courses, videos, books, articles, podcasts, and subject experts from thousands of sources, Degreed provides people and businesses with the tools, analytics and feedback they need to stay ready for whatever’s next.",Seed,,2012,2013,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-degreed-logo.png,,,,David Blake;Co-Founder & Executive Chairman
23,gsv-ventures,Doowii,doowii,https://gsv.ventures/portfolio/,,https://https://www.doowii.io/,"Doowii is an AI data platform for K12 and Higher-Ed institutions, designed to help educators make better decisions with data. Doowii’s software aggregates educational data from a variety of sources, including student records, learning management systems, and MTSS systems to generate reports and insights using only natural language, enabling all educators to identify trends, track progress, and make better informed decisions.",,,,,https://gsv.ventures/wp-content/uploads/2024/07/doowii-1.png,,,,
24,gsv-ventures,DISCO,disco,https://gsv.ventures/portfolio/,,https://www.disco.co,DISCO is a platform for creators to build and scale their live learning empire easily in one place.,,,,,https://gsv.ventures/wp-content/uploads/2022/02/DISCO_Logo.png,,,,Candice Faktor;Co-founder & Chris Sukornyk;Co-founder
25,gsv-ventures,Domestika,domestika,https://gsv.ventures/portfolio/,,https://www.domestika.org/en,"Domestika is the fastest-growing creative community where the best creative experts share their knowledge and skills through professionally produced online courses. It all started as an online forum and a small but dynamic showcase of creative professionals, designed to help them connect and learn from each other.",,,,,https://gsv.ventures/wp-content/uploads/2022/02/image.png,,,,Julio G. Cotorruelo;Co-Founder & CEO & Tomy Pelluz;Co-Founder
26,gsv-ventures,Dreamscape Learn,dreamscape-learn,https://gsv.ventures/portfolio/,,https://www.dreamscapelearn.com/,"The promise of Dreamscape Learn was made in late 2019, when Michael Crow, President of Arizona State University, the nation’s largest and, for eight years running, “most innovative” university, visited a unique virtual reality entertainment center in Los Angeles, California called “Dreamscape Immersive.”.",,,2022,,https://gsv.ventures/wp-content/uploads/2023/08/LOGO-Dreamscape-Learn.png,,,,Walter Parkes & Josh Reibel
27,gsv-ventures,Ednition,ednition,https://gsv.ventures/portfolio/,,https://www.ednition.com/,Reclaim rostering.,,,,,https://gsv.ventures/wp-content/uploads/2025/12/download-9.png,,,,
28,gsv-ventures,Ethena,ethena,https://gsv.ventures/portfolio/,,https://www.goethena.com/about-us,"Ethena provides sexual harassment training teams don’t hate. Compared to cringe-worthy, ineffective videos, Ethena’s evidence-based approach delivers personalized content in frequent, digestible doses via email and Slack nudges. Ethena handle details like reminders and compliance tracking, and keeps teams continually in compliance with evidence-based content that meets the newest regulations.",,,,,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-ethena-logo.png,,,,Roxanne Petraeus;Co-Founder & CEO; Anne Solmssen;Co-Founder & CTO
29,gsv-ventures,Fairygodboss,fairygodboss,https://gsv.ventures/portfolio/,Future of Talent@Work,https://fairygodboss.com/,"In a market starved for disruption and transparency, Fairygodboss is an online community improving the workplace for women. Today, one million women are turning to Fairygodboss every month for job and company reviews, salary info, career advice, and job postings at companies women love.",Seed,,2015,2018,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-fairygodboss-logo.png,,,,Georgene Huang;CEO & Co-Founder; Romy Newman;President & Co-Founder
