id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
1,reach-capital,Abl,abl,https://www.reachcapital.com/companies/?sector=learning,Learning,https://ablschools.com/,Master scheduling tools and guidance for schools.,Exit,,2015,,https://www.reachcapital.com/wp-content/uploads/2022/06/Abl.png,,,,Adam Pisoni;Amy Filsinger;Chris Walsh
2,reach-capital,Aprende Institute,aprende-institute,https://www.reachcapital.com/companies/?sector=learning,Learning,https://aprende.com/,The leading online education platform for vocational skills training in the U.S. Hispanic market and Latin America.,,,2019,,https://www.reachcapital.com/wp-content/uploads/2022/06/Aprende-Institute-e1762811836547.png,,,,Martin Claure
3,reach-capital,BookNook,booknook,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.booknooklearning.com/,Expanding access to high-impact tutoring and small group instruction,,,2016,,https://www.reachcapital.com/wp-content/uploads/2022/06/BookNook.png,,,,Michael Lombardo;Kevin Rohling
4,reach-capital,Breathe For Change,breathe-for-change,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.breatheforchange.com/,Live and online wellness training for teachers,,,2015,,https://www.reachcapital.com/wp-content/uploads/2022/06/Breathe-for-Change.png,,,,Ilana Nankin;Michael Fenchel
5,reach-capital,Brilliant,brilliant,https://www.reachcapital.com/companies/?sector=learning,Learning,https://brilliant.org/,Learn STEM interactively,,,2012,,https://www.reachcapital.com/wp-content/uploads/2023/02/Brilliant.svg,,,,Sue Khim;Silas Hundt;Sam Solomon
6,reach-capital,Campus,campus,https://www.reachcapital.com/companies/?sector=learning,Learning,https://campus.edu/,"A vertically integrated community college alternative, offering live, interactive online cohort-based classes with adjunct professors from top universities",,,2018,,https://www.reachcapital.com/wp-content/uploads/2022/06/Campus.svg,,,,Tade Oyerinde
7,reach-capital,ClassDojo,classdojo,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.classdojo.com/,"Communication app that connects teachers, students and parents",,,2011,,https://www.reachcapital.com/wp-content/uploads/2022/06/ClassDojo.png,,,,Liam Don;Sam Chaudhary
8,reach-capital,Clayful,clayful,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.clayfulhealth.com/,"On-demand, text-based coaching for every kid.",,,2021,,https://www.reachcapital.com/wp-content/uploads/2022/06/Clayful-1.svg,,,,Maria Barrera
9,reach-capital,CoderHouse,coderhouse,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.coderhouse.com/,"Live, online courses to help Latin American professionals upskill",,,2019,,https://www.reachcapital.com/wp-content/uploads/2022/06/Coderhouse.svg,,,,Christian Patino;Nahuel Lema
10,reach-capital,Cometa,cometa,https://www.reachcapital.com/companies/?sector=learning,Learning,https://www.getcometa.com/,Operating system for private schools in Latin America,,,2021,,https://www.reachcapital.com/wp-content/uploads/2024/03/cometa.svg,,,,Andrés Benavides;Gonzalo Gallardo;Mateo Creamer
