id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
1,y-combinator,Codecademy,codecademy,https://www.ycombinator.com/companies/codecademy,Education,http://codecademy.com,"Working professionals are experiencing their jobs changing amidst the rise of technology and automation threatens over 800 million jobs. At the same time, software is eating the world, disrupting every major industry, and creating millions of new technology jobs that companies are eager to fill. This is the skills gap. Our mission is closing it.

In 2011, we changed the face of education by creating free interactive coding courses explored by over 45 million people. As we look to the future, we're focused on helping anyone get the skills they need for the jobs they want.  We aim to bridge the gap: between companies and the workforce, people and their dream jobs. Join one of the most dynamic technology companies in New York that is changing the way the world learns.

Headquartered in New York City, our team is filled with highly curious diverse individuals whose backgrounds span tech and education. Our team is passionate about our mission: helping people get the skills they need for the jobs they want. We seek transparency, thrive on feedback, value teamwork, love evolving and never forget it's people first. We enjoy catered lunches together, company outings, guest speakers and long walks on the beach.",Acquired,,,2011,https://bookface-images.s3.amazonaws.com/small_logos/ee26c3b11a260e7a045f68b47d8c804b306db89f.png,,,,
2,y-combinator,Clever,clever,https://www.ycombinator.com/companies/clever,Education,https://clever.com,"Clever is a single platform for all of your digital learning programs. Founded in 2012, Clever was started by educators and technology professionals who knew that schools, teachers, and students could all benefit from the amazing learning software that was available, but key challenges stood in the way of accessing the technology. Today, half of K-12 schools in the U.S. use Clever to give students and teachers single sign-on access for any resource or file they need, and to automate software account setup and updates for district administrators. Clever gives teachers time to teach, helps districts be better informed, and makes using applications in the classroom effortless.

We are a team of more than 100 people passionate about education. If you feel the same way, you should see our openings at https://clever.com/about/jobs.",Acquired,,,2012,https://bookface-images.s3.amazonaws.com/small_logos/76cc0d8c3947ddc3bc0b8b889117b3cf3dc00ba2.png,,,,
3,y-combinator,Outschool,outschool,https://www.ycombinator.com/companies/outschool,Education,http://outschool.com,"Outschool is an innovative education platform that offers a variety of engaging, small-group classes online. Unlike traditional classes, Outschool classes give kids the unique opportunity to explore their interests in-depth via interactive, live video by experienced, independent educators.

When Outschool was founded in 2015, homeschoolers were the first to discover our classes, but it wasn’t long before kids in conventional schools began supplementing their education with fun and unique, interest-based classes. During the COVID-19 pandemic, Outschool became vital to families who wanted to keep kids learning, social, and pursuing their passions.
Today, Outschool offers more than 140,000 live online classes to more than 1,000,000 learners in 183 countries worldwide.",Growth,,,2016,https://bookface-images.s3.amazonaws.com/small_logos/8d4f5bc63953a4887b889e74645b81f6aa339942.png,,,,
4,y-combinator,GiveCampus,givecampus,https://www.ycombinator.com/companies/givecampus,Education,http://go.givecampus.com,"GiveCampus is the world's #1 fundraising platform for non-profit educational institutions. Trusted by millions of donors and more than 1,500 colleges, universities, and K-12 schools, our mission is to advance the quality, the affordability, and the accessibility of education. Since 2015, we have facilitated more than $7 billion in charitable giving.",Early,,,2015,https://bookface-images.s3.amazonaws.com/small_logos/55a1d2299284203df1bfdb4eb60c9ad5ca6328d2.png,,,,
5,y-combinator,Platzi,platzi,https://www.ycombinator.com/companies/platzi,Education,https://platzi.com,"Platzi cracked online education. It teaches courses on design, marketing and programming with a 70% completion rate, to over one million students worldwide.

The classes include real-time collaboration among students and industry leaders as teachers. It aims to be the professional home for lifelong learning of advanced skills.",Growth,,,2015,https://bookface-images.s3.amazonaws.com/small_logos/b54bffd3bd06059fabfb2a7a0351e2e4c1e8e697.png,,,,
6,y-combinator,CodeCombat,codecombat,https://www.ycombinator.com/companies/codecombat,Education,https://codecombat.com,"CodeCombat is a multiplayer programming game for learning how to code. With thousands of schools and millions of students, we are bringing K12 computer science education to everyone, regardless of gender, race, or background. Everyone should have the opportunity to learn.

The ultimate goal of CodeCombat is to bring more users into the field of computer programming by making the logic and syntax more accessible and enjoyable to learn. The end game is to educate a whole new generation of computer programmers that started their journey by slaying ogres and defending their castles from oncoming enemy hordes.

We teach Python, JavaScript, and other languages directly in the browser. Teachers with no computer science background can get started in five minutes. In a world where all programmers have had to be second-language learners, do you want your students to become native speakers of code? Let's chat about bringing CodeCombat to your school!

Find us on Twitter at https://twitter.com/CodeCombat",Growth,,,2014,https://bookface-images.s3.amazonaws.com/small_logos/f867ef5f1e9cc19b841714369785ca83d8d9df2a.png,,,,
7,y-combinator,Cambly,cambly,https://www.ycombinator.com/companies/cambly,Education,http://www.cambly.com,The Cambly app gives English learners instant 1-on-1 access to friendly native speakers over video chat 24/7. Students get an affordable and convenient way to practice their English and gain confidence. Tutors get to make money helping people from around the world practice English.,Growth,,,2014,https://bookface-images.s3.amazonaws.com/small_logos/5c774e23b82a6ee8805cd340a8dd9d8e468279de.png,,,,
8,y-combinator,Panorama Education,panorama-education,https://www.ycombinator.com/companies/panorama-education,Education,https://www.panoramaed.com/,"Panorama Education partners with K-12 districts to support student success in the classroom and beyond through a secure, research-backed software platform for AI, student support, and community voice and engagement. Serving 15 million students nationwide, Panorama helps educators boost achievement, attendance, behavior, and readiness for graduation and beyond.",Growth,,,2013,https://bookface-images.s3.amazonaws.com/small_logos/cf3c7c83086821a88ee659c700552b3a9a953709.png,,,,
9,y-combinator,CleverDeck,cleverdeck,https://www.ycombinator.com/companies/cleverdeck,Education,http://cleverdeck.com,"CleverDeck is a customizable-spaced repetition flashcard application for learning foreign language vocabulary.

It contains more than three thousand useful words along with images, native speaker audio, and example sentences.",Early,,,2012,/company/thumb/missing.png,,,,
10,y-combinator,Risely AI,risely-ai,https://www.ycombinator.com/companies/risely-ai,Education,https://www.risely.ai/,"Risely’s AI agents will form the new operating system for universities, improving retention, staff productivity, and efficiency. Our platform integrates directly into existing university systems (SIS, LMS, CRM), learns each institution’s unique workflows, and deploys specialized AI agents. This dramatically reduces the $735 billion universities spend annually on administrative labor, expands staff capacity without increasing headcount, and improves the student experience.

This hasn't been done before because university workflows require nuanced, autonomous judgment, exactly what agentic AI was designed to solve. Our team uniquely combines deep expertise in higher education, enterprise-scale AI, and regulated enterprise sales.

Sadia previously built Salesforce’s Education Cloud from scratch, creating the core Student Information System widely used across higher education. She deeply understands university operations and maintains trusted relationships with hundreds of higher-ed CIOs and Provosts.

Danial was one of DoorDash’s earliest engineers, where he architected and scaled complex systems from zero to billions of transactions, including their search, recommendation, and Voice AI platforms. He knows how to build robust AI solutions that reliably perform at enterprise scale.

Shahryar was a GM at Airwallex, where he built the entire Americas business from 0 to 1 and drove 11x revenue growth.  He’s also a master closer, single-handedly securing over $17M in enterprise deals at NerdWallet.  He’s a relentless startup executor with deep expertise launching and scaling go-to-market machines in highly regulated industries.

We launched six weeks ago and are already at $8k MRR, growing 55% week-over-week -- one of the fastest ramps ever in higher ed. Universities urgently need solutions that expand labor capacity and efficiency, especially as they face unprecedented budget pressure and staffing shortages.

With unmatched buyer access, deep technical expertise, and rapid early traction, we are perfectly positioned to own this enormous market.",Early,,,2025,https://bookface-images.s3.amazonaws.com/small_logos/4680fe6ec9d7629b24dfdc3825d767092e53950d.png,,,,
